target_time_s,saved_set,saved_time_s,svar_index,bin_index,radial_depth_percent_start,radial_depth_percent_end,radial_depth_mm_start,radial_depth_mm_end,raw_max_value,plotted_max_value,interpolated,nodal_sample_count
3,60,3,1,39,38,39,0.965200,0.990600,0.03285823785699904,0.03285823785699904,0,7973
3,60,3,1,40,39,40,0.990600,1.016000,0.043937018141150475,0.043937018141150475,0,3978
3,60,3,1,41,40,41,1.016000,1.041400,0.02752745384350419,0.02752745384350419,0,629
3,60,3,1,42,41,42,1.041400,1.066800,0.028401813935488462,0.028401813935488462,0,238
3,60,3,1,43,42,43,1.066800,1.092200,0.01877089651922385,0.01877089651922385,0,408
3,60,3,1,44,43,44,1.092200,1.117600,0.012443654937669635,0.012443654937669635,0,459
3,60,3,1,45,44,45,1.117600,1.143000,0.02123325050342828,0.02123325050342828,0,901
3,60,3,1,46,45,46,1.143000,1.168400,0.0084545640740543611,0.0084545640740543611,0,1666
3,60,3,1,47,46,47,1.168400,1.193800,0.0067908751661889255,0.0067908751661889255,0,4335
3,60,3,1,48,47,48,1.193800,1.219200,0.011583455954678357,0.011583455954678357,0,7769
3,60,3,1,49,48,49,1.219200,1.244600,0.0042231367551721632,0.0042231367551721632,0,5304
3,60,3,1,50,49,50,1.244600,1.270000,0.0070583299500867726,0.0070583299500867726,0,4913
3,60,3,1,51,50,51,1.270000,1.295400,0.0026519726816331968,0.0026519726816331968,0,7446
3,60,3,1,52,51,52,1.295400,1.320800,0.0021580354368779808,0.0021580354368779808,0,6664
3,60,3,1,53,52,53,1.320800,1.346200,0.0018280262127518653,0.0018280262127518653,0,187
3,60,3,1,54,53,54,1.346200,1.371600,0.0012967095171916299,0.0012967095171916299,0,340
3,60,3,1,55,54,55,1.371600,1.397000,0.0010092621475147705,0.0010092621475147705,0,408
3,60,3,1,56,55,56,1.397000,1.422400,0.0015777730538199346,0.0015777730538199346,0,323
3,60,3,1,57,56,57,1.422400,1.447800,0.00063101926571107469,0.00063101926571107469,0,357
3,60,3,1,58,57,58,1.447800,1.473200,0.00052804232473135926,0.00052804232473135926,0,850
3,60,3,1,59,58,59,1.473200,1.498600,0.0010633458186930511,0.0010633458186930511,0,3094
3,60,3,1,60,59,60,1.498600,1.524000,0.00031958073486748617,0.00031958073486748617,0,7820
3,60,3,1,61,60,61,1.524000,1.549400,0.00024162299087038264,0.00024162299087038264,0,6341
3,60,3,1,62,61,62,1.549400,1.574800,0.00019148705723637249,0.00019148705723637249,0,4947
3,60,3,1,63,62,63,1.574800,1.600200,0.00014244750855141319,0.00014244750855141319,0,6528
3,60,3,1,64,63,64,1.600200,1.625600,0.00011128114874736639,0.00011128114874736639,0,8381
